지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간풍속 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),최대 순간 풍속 풍향(hhmi)
725,2016-01-20,2.0,1.1,237.0,3.6,1425.0,0.0,19.0,7.7,336.3,,,,
725,2021-08-08,26.8,25.9,2301.0,28.0,940.0,2.5,11.5,5.0,10.4,1756.0,,,
725,2017-11-10,18.8,14.7,0.0,23.8,1300.0,0.0,9.2,3.7,335.2,,,,
725,2012-01-30,3.9,1.9,816.0,5.5,1403.0,0.0,15.7,5.8,,639.0,0.0,,19.1
725,2011-10-03,16.6,15.1,318.0,18.7,1154.0,0.0,14.3,4.2,,106.0,0.0,,349.1
725,2012-10-21,20.0,15.6,105.0,23.6,1323.0,0.0,5.5,1.5,,1339.0,0.0,100.0,140.7
725,2011-04-23,10.6,8.8,110.0,13.4,1347.0,0.0,21.2,9.1,,35.0,0.0,,306.1
725,2010-06-13,19.8,18.6,502.0,21.7,1155.0,0.0,10.7,3.7,,1213.0,0.0,,64.4
725,2019-05-09,16.5,13.7,540.0,20.0,1324.0,0.0,4.5,2.4,293.6,1848.0,,,
725,2015-03-13,10.9,5.6,531.0,16.2,1243.0,0.0,7.5,2.4,240.1,28.0,0.0,,
725,2018-09-04,24.2,22.0,539.0,26.3,1449.0,26.5,8.3,4.1,311.8,651.0,,,
725,2013-11-19,8.5,5.8,855.0,10.8,1217.0,3.5,17.4,8.6,,845.0,1.5,1400.0,328.9
725,2019-03-31,8.5,7.2,2255.0,10.7,1254.0,0.0,10.7,6.5,306.8,108.0,,,
725,2018-04-05,15.4,13.5,213.0,17.4,2151.0,1.0,8.1,4.5,94.8,113.0,,,
725,2013-08-25,27.0,25.4,2355.0,29.8,1358.0,28.5,11.5,3.0,,15.0,19.5,700.0,239.1
725,2014-05-28,21.7,18.3,2330.0,27.5,1244.0,0.0,12.6,5.1,,1339.0,0.0,,313.4
725,2010-01-28,7.1,5.2,2356.0,10.8,7.0,0.0,19.3,11.3,,1023.0,0.0,,319.5
725,2010-06-18,20.4,18.6,2304.0,22.9,1326.0,2.5,6.5,2.3,,1825.0,1.0,300.0,175.0
725,2013-03-21,5.1,1.7,325.0,8.6,1518.0,0.0,14.3,5.7,,8.0,0.0,,338.4
725,2016-01-30,8.3,7.0,2348.0,9.0,1240.0,0.0,9.6,3.8,304.2,,,,
725,2020-11-25,12.3,9.8,129.0,14.2,1351.0,0.0,12.8,6.7,258.1,1534.0,,,
725,2013-02-22,7.5,4.5,1.0,10.2,1415.0,0.0,11.9,5.2,,1625.0,0.0,,327.4
725,2016-05-12,17.2,12.0,504.0,21.4,1431.0,0.0,9.5,3.8,169.6,,,,
725,2019-08-31,24.3,21.1,120.0,27.6,1245.0,0.0,3.4,1.5,298.7,352.0,,,
725,2010-01-12,2.1,-0.8,2328.0,4.3,4.0,3.0,21.4,11.4,,1220.0,1.5,2300.0,333.5
725,2020-02-23,7.3,5.0,2336.0,10.5,1429.0,0.0,13.6,5.2,298.3,224.0,,,
725,2021-03-25,14.1,11.2,2331.0,17.3,1240.0,0.0,6.6,3.9,274.5,2156.0,,,
725,2010-05-24,16.2,13.9,402.0,19.0,1535.0,3.5,15.4,6.2,,1328.0,3.0,2200.0,301.0
725,2018-03-28,14.3,8.8,449.0,19.2,1354.0,0.0,5.4,1.8,197.3,1451.0,,,
725,2013-12-01,10.6,8.9,2328.0,14.0,1341.0,0.0,11.4,5.0,,2353.0,0.0,,324.9
725,2011-10-05,18.8,16.9,2337.0,21.1,1047.0,0.0,13.4,5.2,,2311.0,0.0,,321.4
725,2015-09-02,24.8,21.8,206.0,28.8,1545.0,1.5,7.5,1.9,214.2,1617.0,1.5,900.0,
725,2021-06-09,22.1,20.9,242.0,24.1,1533.0,0.0,8.0,2.9,63.3,1008.0,,,
725,2015-05-17,18.4,13.3,514.0,24.9,1314.0,0.0,5.8,2.1,318.9,14.0,0.0,,
725,2013-04-17,16.1,14.4,1925.0,20.8,1136.0,0.0,11.2,3.5,,58.0,0.0,,329.6
725,2011-09-24,21.7,17.8,412.0,24.9,1407.0,0.0,8.5,2.4,,1218.0,0.0,,131.0
725,2021-03-23,11.8,8.2,534.0,15.9,1328.0,0.0,13.8,5.2,284.8,31.0,,,
725,2011-04-06,14.2,9.1,432.0,17.7,1344.0,4.5,11.8,3.7,,2225.0,3.5,2300.0,174.9
725,2010-11-06,13.9,11.6,636.0,17.2,1240.0,0.0,6.6,3.2,,1540.0,0.0,,356.9
725,2016-07-12,23.1,21.5,747.0,25.9,1714.0,211.0,9.3,1.7,199.5,,,,
725,2020-04-04,11.7,7.8,2300.0,15.6,1236.0,0.0,18.3,10.1,287.6,2234.0,,,
725,2010-09-09,24.4,23.2,706.0,26.3,1702.0,35.0,9.7,4.3,,911.0,27.5,1500.0,119.3
725,2014-03-11,8.8,4.0,526.0,13.9,1354.0,0.0,8.3,2.9,,1641.0,0.0,,223.8
725,2016-04-30,16.1,10.4,516.0,22.0,1441.0,0.0,8.1,2.3,198.9,,,,
725,2017-09-26,25.3,24.0,2231.0,28.0,1023.0,8.0,6.6,4.3,131.8,,,,
725,2012-02-02,-1.9,-2.8,1207.0,-0.3,435.0,0.0,19.7,9.6,,813.0,0.0,,347.8
725,2011-12-11,7.6,6.3,1.0,8.4,1834.0,0.0,13.3,6.4,,425.0,0.0,,331.5
725,2012-10-02,19.9,17.4,622.0,24.0,1414.0,0.0,6.8,3.0,,1027.0,0.0,,346.2
725,2014-03-02,9.2,6.8,743.0,11.3,1309.0,0.0,12.3,6.5,,1802.0,0.0,,344.7
725,2021-08-01,27.8,25.7,40.0,30.0,1410.0,0.0,10.8,3.7,151.9,1404.0,,,
725,2011-06-25,21.9,20.2,1456.0,23.6,44.0,44.0,16.8,5.8,,1732.0,11.5,1600.0,124.0
725,2015-08-04,27.5,25.1,403.0,31.6,1307.0,0.0,7.9,2.7,215.9,642.0,0.0,,
725,2016-10-15,21.1,20.1,459.0,22.3,1146.0,0.0,7.3,4.6,68.2,,,,
725,2011-10-08,17.9,14.8,635.0,21.1,1436.0,0.0,7.3,2.7,,909.0,0.0,,320.4
725,2019-05-21,16.9,13.5,514.0,20.2,1257.0,0.0,9.0,3.8,296.5,119.0,,,
725,2011-05-29,17.2,14.5,742.0,21.7,1751.0,0.0,12.0,4.5,,59.0,0.0,,39.6
725,2019-06-16,19.5,17.3,2331.0,22.1,1218.0,0.0,6.9,4.2,281.5,129.0,,,
725,2021-11-02,15.7,14.5,2329.0,17.7,1314.0,0.0,,,,,,,
725,2017-02-03,7.6,4.5,623.0,9.3,1550.0,0.0,6.4,3.8,319.2,,,,
725,2016-10-28,18.8,16.6,1515.0,21.5,1042.0,22.0,10.2,4.4,334.2,,,,
725,2010-09-03,26.6,25.0,524.0,28.9,1224.0,0.0,8.6,3.2,,1326.0,0.0,,191.4
725,2010-03-27,8.3,3.8,544.0,11.5,1344.0,0.0,5.6,2.2,,450.0,0.0,,289.9
725,2021-10-08,24.4,21.3,45.0,27.3,1338.0,0.0,8.3,3.8,1.1,2311.0,,,
725,2013-08-20,29.1,26.2,307.0,32.7,1401.0,0.0,4.9,1.6,,1139.0,0.0,,55.0
725,2017-01-23,2.3,0.9,357.0,3.3,1350.0,0.0,11.0,6.2,349.9,,,,
725,2018-04-19,13.9,7.6,528.0,17.9,1538.0,0.0,3.9,1.6,314.1,1754.0,,,
725,2010-09-27,20.2,17.5,1220.0,22.6,208.0,26.5,10.6,3.6,,1249.0,12.5,1100.0,36.6
725,2012-10-03,20.5,18.5,52.0,23.7,1408.0,0.0,12.2,3.2,,539.0,0.0,,57.6
725,2020-06-15,21.6,19.9,459.0,25.0,1333.0,0.0,10.3,4.5,275.3,108.0,,,
725,2014-09-16,23.6,22.2,451.0,25.9,1406.0,0.0,7.7,3.1,,38.0,0.0,,336.1
725,2011-03-21,9.2,8.0,1846.0,11.0,133.0,17.5,14.7,5.8,,2338.0,2.5,600.0,304.3
725,2014-08-10,25.0,22.5,210.0,29.3,1327.0,0.0,10.8,4.2,,1837.0,0.0,,304.8
725,2011-09-22,19.8,18.1,503.0,22.3,1339.0,0.0,12.0,6.4,,542.0,0.0,,342.0
725,2015-09-03,24.3,21.3,307.0,27.3,1418.0,0.0,9.1,3.1,312.2,2124.0,0.0,,
725,2016-04-20,16.4,11.4,344.0,19.9,1203.0,0.0,13.4,2.9,172.4,,,,
725,2010-01-16,3.6,2.5,502.0,5.3,1456.0,0.0,15.0,8.1,,901.0,0.0,,333.6
725,2015-11-15,15.7,14.5,2000.0,18.0,1345.0,0.0,11.1,4.7,340.1,4.0,0.0,,
725,2013-08-13,28.5,24.6,321.0,32.5,1145.0,0.0,6.7,1.7,,1556.0,0.0,,177.4
725,2020-03-08,12.2,9.7,353.0,15.0,1509.0,0.0,9.5,4.9,61.8,2143.0,,,
725,2021-10-29,19.1,18.4,2356.0,20.1,1246.0,0.0,13.6,7.9,37.9,950.0,,,
725,2017-08-26,26.3,22.5,2351.0,29.3,1350.0,0.0,5.6,2.5,317.1,,,,
725,2012-03-08,8.8,6.8,2333.0,11.7,1346.0,0.0,8.4,3.8,,2311.0,0.0,,344.9
725,2014-07-06,21.6,19.6,519.0,24.1,1510.0,107.5,10.7,2.9,,1548.0,20.5,1200.0,174.3
725,2011-02-02,6.3,5.0,233.0,8.2,1421.0,0.0,11.5,5.6,,1137.0,0.0,,315.6
725,2019-01-20,7.2,4.1,2347.0,12.3,1.0,0.0,10.3,6.2,295.4,2147.0,,,
725,2017-12-09,8.5,5.5,209.0,10.8,1252.0,0.0,9.9,2.9,306.1,,,,
725,2019-05-24,20.9,15.7,532.0,27.1,1311.0,0.0,2.9,0.9,128.1,1503.0,,,
725,2019-10-24,20.2,18.9,339.0,22.0,1243.0,7.5,15.5,8.2,10.2,708.0,,,
725,2019-11-21,14.7,10.9,1.0,16.9,2320.0,0.0,11.3,6.1,32.4,1655.0,,,
725,2013-07-22,27.6,25.3,555.0,31.7,959.0,0.0,9.0,3.5,,1658.0,0.0,,200.4
725,2010-07-24,25.5,23.4,2247.0,28.6,1526.0,0.0,7.9,2.4,,1220.0,0.0,,289.4
725,2019-06-10,19.6,17.9,57.0,22.0,1209.0,0.0,4.3,2.3,70.8,1122.0,,,
725,2017-02-09,3.0,1.1,2224.0,4.6,229.0,0.0,12.7,7.8,332.3,,,,
725,2011-10-10,21.0,18.9,2.0,23.2,1242.0,1.5,7.4,2.8,,1430.0,1.5,2300.0,35.8
725,2018-08-16,26.7,24.5,1010.0,27.6,2146.0,18.5,10.4,5.0,89.2,2352.0,,,
725,2019-12-08,8.7,7.5,731.0,10.5,1332.0,0.0,12.4,7.1,337.2,341.0,,,
725,2019-03-18,11.2,6.9,658.0,15.6,1126.0,8.5,4.7,1.5,171.7,1233.0,,,
